Id_vente,Id_bien,Date_mutation,Valeur_fonciere
00299,21758,2020-01,52000
00300,06899,2020-01,207500
00301,04226,2020-01,237000
00302,00758,2020-01,72200
00303,24550,2020-01,318000
00304,13468,2020-01,330850
00305,33555,2020-01,144950
00306,02234,2020-01,144000
00307,25822,2020-01,82000
00308,21505,2020-01,298000
00309,33823,2020-01,91000
00310,25964,2020-01,265000
00311,03284,2020-01,197000
00312,07010,2020-01,375000
00313,10070,2020-01,104000
00314,23715,2020-01,173000
00315,27558,2020-01,275000
00316,12706,2020-01,160000
00317,24660,2020-01,110000
00318,06672,2020-01,53900
00319,06709,2020-01,206300
00320,02065,2020-01,72000
00321,19315,2020-01,188900
00322,33147,2020-01,65000
00323,32556,2020-01,149500
00324,20591,2020-01,150900
00325,26866,2020-01,90000
00326,28317,2020-01,106000
00327,20646,2020-01,86000
00328,33835,2020-01,46000
00329,23109,2020-01,72000
00330,02300,2020-01,88000
00331,10768,2020-01,137000
00332,19391,2020-01,360000
00333,30508,2020-01,33000
00334,07598,2020-01,122450
00335,26094,2020-01,99750
00336,22758,2020-01,153300
00337,10941,2020-01,172950
00338,06216,2020-01,71530
00339,16103,2020-01,78000
00340,21477,2020-01,204000
00341,01321,2020-01,155000
00342,07096,2020-01,134000
00343,29822,2020-01,97000
00344,14493,2020-01,162000
00345,01540,2020-01,142200
00346,04268,2020-01,214000
00347,18436,2020-01,240000
00348,13775,2020-01,120000
00349,08978,2020-01,75200
00350,07121,2020-01,33000
00351,22651,2020-01,31000
00352,29919,2020-01,43000
00353,22777,2020-01,44950
00354,17707,2020-01,138000
00355,33470,2020-01,221300
00356,31540,2020-01,291000
00357,28109,2020-01,145000
00358,13640,2020-01,106000
00359,22268,2020-01,87000
00360,32235,2020-01,127900
00361,33159,2020-01,47000
00362,23516,2020-01,105003
00363,16472,2020-01,37000
00364,32879,2020-01,85500
00365,14340,2020-01,88000
00366,32345,2020-01,30500
00367,23809,2020-01,52381
00368,10238,2020-01,46000
00369,32763,2020-01,86000
00370,28927,2020-01,120300
00371,13411,2020-01,158500
00372,32931,2020-01,270000
00373,23231,2020-01,130000
00374,18448,2020-01,265320
00375,13338,2020-01,325000
00376,13977,2020-01,99900
00377,28314,2020-01,130000
00378,32636,2020-01,202380
00379,25335,2020-01,3e+05
00380,15488,2020-01,38200
00381,33234,2020-01,240000
00382,17673,2020-01,43000
00383,18596,2020-01,169000
00384,21995,2020-01,368000
00385,22848,2020-01,106574.1
00386,23245,2020-01,449000
00387,26597,2020-01,334450
00388,10925,2020-01,380000
00389,21114,2020-01,1829700
00390,18402,2020-01,3380000
00391,09636,2020-01,1565002
00392,11146,2020-01,8e+05
00393,28448,2020-01,362050
00394,20347,2020-01,482000
00395,05388,2020-01,601400
00396,32226,2020-01,506500
00397,12693,2020-01,204650
00398,26654,2020-01,1475700
00399,21562,2020-01,551800
00400,21947,2020-01,362300
00401,17575,2020-01,295700
00402,20947,2020-01,688292
00403,11024,2020-01,596650
00404,01656,2020-01,471000
00405,27346,2020-01,95000
00406,13950,2020-01,590000
00407,30788,2020-01,533000
00408,29017,2020-01,126000
00409,21934,2020-01,607500
00410,27254,2020-01,7420000
00411,31950,2020-01,328950
00412,16712,2020-01,552800
00413,13179,2020-01,343000
00414,02923,2020-01,532000
00415,04072,2020-01,1613000
00416,06309,2020-01,352500
00417,06040,2020-01,276930
00418,17049,2020-01,1188000
00419,05678,2020-01,112000
00420,12259,2020-01,403000
00421,11090,2020-01,60000
00422,26523,2020-01,124000
00423,05275,2020-01,225000
00424,06037,2020-01,185500
00425,25635,2020-01,113000
00426,00986,2020-01,45000
00427,17216,2020-01,189000
00428,07545,2020-01,145000
00429,26982,2020-01,257000
00430,15824,2020-01,175000
00431,07889,2020-01,370050
00432,11639,2020-01,128000
00433,28948,2020-01,168500
00434,29844,2020-01,582000
00435,25610,2020-01,181500
00436,29298,2020-01,240750
00437,15319,2020-01,271500
00438,20644,2020-01,102820
00439,00799,2020-01,740000
00440,23466,2020-01,54000
00441,27546,2020-01,224900
00442,14761,2020-01,90000
00443,29216,2020-01,148500
00444,19405,2020-01,372841
00445,13357,2020-01,235200
00446,14849,2020-01,80000
00447,27911,2020-01,182500
00448,15838,2020-01,103000
00449,27487,2020-01,51000
00450,02691,2020-01,134500
00451,07191,2020-01,39000
00452,23490,2020-01,168636.6
00453,24197,2020-01,265000
00454,32501,2020-01,134000
00455,27504,2020-01,291150
00456,20359,2020-01,377000
00457,02131,2020-01,391200
00458,01425,2020-01,476469
00459,23113,2020-01,910000
00460,26059,2020-01,186000
00461,10134,2020-01,164000
00462,04188,2020-01,185000
00463,29955,2020-01,388326
00464,16571,2020-01,606820
00465,12006,2020-01,423100
00466,20052,2020-01,518192
00467,31092,2020-01,345000
00468,16692,2020-01,335000
00469,08807,2020-01,121000
00470,11718,2020-01,380000
00471,00214,2020-01,1550000
00472,23366,2020-01,645000
00473,15683,2020-01,825750
00474,17799,2020-01,345000
00475,13326,2020-01,166000
00476,03469,2020-01,254800
00477,09742,2020-01,460000
00478,19763,2020-01,1225000
00479,29992,2020-01,354750
00480,06353,2020-01,196800
00481,12206,2020-01,156350
00482,04647,2020-01,350000
00483,23876,2020-01,644000
00484,18277,2020-01,319000
00485,26144,2020-01,160000
00486,23337,2020-01,240000
00487,30823,2020-01,435000
00488,08847,2020-01,408000
00489,19086,2020-01,153000
00490,22401,2020-01,187000
00491,21484,2020-01,420600
00492,17954,2020-01,281000
00493,21167,2020-01,168500
00494,19387,2020-01,267000
00495,20186,2020-01,129000
00496,19617,2020-01,197050
00497,11047,2020-01,389980
00498,17009,2020-01,109000
00499,10707,2020-01,195000
00500,08833,2020-01,137000
00501,22049,2020-01,189800
00502,19527,2020-01,285500
00503,21080,2020-01,165000
00504,18869,2020-01,225000
00505,17937,2020-01,252000
00506,29338,2020-01,244783.25
00507,00247,2020-01,1400000
00508,34110,2020-01,240750
00509,00651,2020-01,1e+05
00510,11195,2020-01,660000
00511,30851,2020-01,1690000
00512,01537,2020-01,130000
00513,21750,2020-01,179500
00514,30066,2020-01,212500
00515,31643,2020-01,208000
00516,18860,2020-01,181230
00517,21550,2020-01,220900
00518,19923,2020-01,212150
00519,04599,2020-01,262000
00520,29936,2020-01,131990
00521,33326,2020-01,133950
00522,32104,2020-01,405000
00523,23494,2020-01,151000
00524,09175,2020-01,581097.6
00525,32208,2020-01,245000
00526,21664,2020-01,198000
00527,11637,2020-01,233000
00528,09686,2020-01,73500
00529,14441,2020-01,140000
00530,15142,2020-01,66000
00531,15186,2020-01,42500
00532,07945,2020-01,59000
00533,12547,2020-01,66820
00534,17110,2020-01,51000
00535,29942,2020-01,257965
00536,31784,2020-01,150000
00537,07536,2020-01,172000
00538,29511,2020-01,75000
00539,07477,2020-01,140000
00540,12894,2020-01,169600
00541,18426,2020-01,12000
00542,04058,2020-01,74900
00543,24875,2020-01,162000
00544,02419,2020-01,88000
00545,26619,2020-01,87000
00546,19599,2020-01,361000
00547,05656,2020-01,218000
00548,12533,2020-01,159000
00549,21495,2020-01,107000
00550,25549,2020-01,82500
00551,03104,2020-01,123000
00552,32884,2020-01,97000
00553,14020,2020-01,39000
00554,22594,2020-01,34450
00555,27046,2020-01,80300
00556,16175,2020-01,102000
00557,01923,2020-01,92600
00558,16684,2020-01,59000
00559,14225,2020-01,84500
00560,31130,2020-01,111800
00561,19591,2020-01,51500
00562,33394,2020-01,73773.58
00563,16780,2020-01,166450
00564,25585,2020-01,165000
00565,04133,2020-01,371500
00566,26474,2020-01,150400
00567,24079,2020-01,204620
00568,27936,2020-01,118400
00569,14693,2020-01,216000
00570,03906,2020-01,233000
00571,33952,2020-01,60000
00572,17624,2020-01,123000
00573,01438,2020-01,144310
00574,13374,2020-01,76400
00575,25629,2020-01,69000
00576,01901,2020-01,128420
00577,32385,2020-01,80750
00578,22310,2020-01,196400
00579,26447,2020-01,57000
00580,26086,2020-01,602500
00581,05987,2020-01,283050
00582,32030,2020-01,192000
00583,16079,2020-01,61610
00584,20912,2020-01,86980
00585,23000,2020-01,84800
00586,06529,2020-01,253000
00587,07907,2020-01,56500
00588,27170,2020-01,45600
00589,16435,2020-01,245230
00590,06615,2020-01,119000
00591,11595,2020-01,92000
00592,02226,2020-01,179900
00593,22898,2020-01,98000
00594,20443,2020-01,127000
00595,30649,2020-01,167300
00596,26454,2020-01,143300
00597,24879,2020-01,52000
00598,06295,2020-01,92000
00599,27329,2020-01,137900
00600,21194,2020-01,172900
00601,03942,2020-01,132197
00602,00103,2020-01,11000
00603,23264,2020-01,120000
00604,15443,2020-01,585000
00605,12819,2020-01,67500
00606,26956,2020-01,31500
00607,00357,2020-01,275000
00608,04695,2020-01,74000
00609,27232,2020-01,90000
00610,17221,2020-01,209750
00611,02712,2020-01,196500
00612,28336,2020-01,142040
00613,11140,2020-01,183400
00614,09894,2020-01,170000
00615,27192,2020-01,261470
00616,05893,2020-01,630000
00617,05319,2020-01,40000
00618,09683,2020-01,207200
00619,28195,2020-01,266000
00620,18057,2020-01,223090
00621,19530,2020-01,1250000
00622,09566,2020-01,680000
00623,31374,2020-01,459000
00624,30352,2020-01,312000
00625,03283,2020-01,519000
00626,22660,2020-01,324000
00627,06943,2020-01,308729
00628,08637,2020-01,554690
00629,27738,2020-01,231000
00630,32017,2020-01,189000
00631,01215,2020-01,145000
00632,16499,2020-01,192500
00633,13857,2020-01,337000
00634,20557,2020-01,2e+05
00635,32413,2020-01,70000
00636,24427,2020-01,371270
00637,29604,2020-01,108600
00638,02696,2020-01,423000
00639,14413,2020-01,132500
00640,20893,2020-01,287000
00641,00567,2020-01,468000
00642,07580,2020-01,111500
00643,08642,2020-01,175000
00644,09843,2020-01,47500
00645,22005,2020-01,116000
00646,16535,2020-01,78500
00647,17247,2020-01,138500
00648,11405,2020-01,540000
00649,05358,2020-01,71500
00650,16647,2020-01,421280
00651,02345,2020-01,234000
00652,14201,2020-01,199120
00653,09638,2020-01,339200
00654,01152,2020-01,514142
00655,19963,2020-01,201813
00656,19931,2020-01,202500
00657,18984,2020-01,220000
00658,24709,2020-01,315000
00659,24384,2020-01,149000
00660,27603,2020-01,35000
00661,09098,2020-01,720000
00662,21270,2020-01,190000
00663,08857,2020-01,241030
00664,27942,2020-01,620000
00665,27814,2020-01,97500
00666,11489,2020-01,309000
00667,29659,2020-01,490000
00668,24347,2020-01,340750
00669,08516,2020-01,214700
00670,21421,2020-01,415000
00671,10530,2020-01,195000
00672,07986,2020-01,205000
00673,10014,2020-01,146880
00674,31641,2020-01,95000
00675,13624,2020-01,57000
00676,02059,2020-01,48420
00677,02337,2020-01,93500
00678,06787,2020-01,98000
00679,31513,2020-01,75500
00680,10976,2020-01,105000
00681,17746,2020-01,119800
00682,00768,2020-01,40000
00683,26698,2020-01,152000
00684,17789,2020-01,85000
00685,28631,2020-01,68000
00686,06908,2020-01,65748
00687,04198,2020-01,76500
00688,05018,2020-01,242000
00689,30478,2020-01,223400
00690,26645,2020-01,201400
00691,17796,2020-01,215000
00692,22355,2020-01,148000
00693,13416,2020-01,187000
00694,02588,2020-01,22000
00695,18125,2020-01,21750
00696,26438,2020-01,68500
00697,12229,2020-01,108000
00698,32650,2020-01,5e+05
00699,08616,2020-01,248910
00700,14060,2020-01,85800
00701,19390,2020-01,130000
00702,33523,2020-01,163400
00703,16385,2020-01,257500
00704,33537,2020-01,133200
00705,31015,2020-01,139000
00706,08274,2020-01,243000
00707,21869,2020-01,218000
00708,11179,2020-01,149400
00709,15344,2020-01,147800
00710,34060,2020-01,133900
00711,17332,2020-01,160000
00712,02934,2020-01,79000
00713,09174,2020-01,278400
00714,22702,2020-01,273600
00715,25373,2020-01,120930
00716,02193,2020-01,1e+05
00717,13890,2020-01,106500
00718,16040,2020-01,149000
00719,01242,2020-01,165200
00720,13668,2020-01,58000
00721,01193,2020-01,145000
00722,06807,2020-01,54500
00723,06664,2020-01,283000
00724,03935,2020-01,237000
00725,10728,2020-01,153190
00726,23436,2020-01,65210
00727,05908,2020-01,185000
00728,03539,2020-01,45082
00729,11713,2020-01,92000
00730,04270,2020-01,141000
00731,00276,2020-01,43000
00732,32410,2020-01,138400
00733,04717,2020-01,78000
00734,04699,2020-01,141650
00735,09346,2020-01,61750
00736,06495,2020-01,92800
00737,17358,2020-01,106500
00738,00286,2020-01,93500
00739,17513,2020-01,142000
00740,27174,2020-01,36900
00741,29086,2020-01,145000
00742,20162,2020-01,45000
00743,00352,2020-01,157000
00744,15345,2020-01,243010
00745,21842,2020-01,155490
00746,10798,2020-01,235294
00747,08148,2020-01,740000
00748,26106,2020-01,254000
00749,19149,2020-01,119000
00750,14728,2020-01,26500
00751,11324,2020-01,17000
00752,10881,2020-01,221775
00753,29256,2020-01,105000
00754,09690,2020-01,236538
00755,11393,2020-01,572500
00756,22863,2020-01,370000
00757,13698,2020-01,648600
00758,17858,2020-01,879000
00759,03785,2020-01,432000
00760,21614,2020-01,1195000
00761,17010,2020-01,2184420
00762,29749,2020-01,1493825
00763,16763,2020-01,871900
00764,06371,2020-01,215000
00765,04742,2020-01,744000
00766,16894,2020-01,384000
00767,14838,2020-01,845575
00768,02747,2020-01,599100
00769,16122,2020-01,327500
00770,24339,2020-01,1140000
00771,29748,2020-01,545000
00772,01194,2020-01,383000
00773,22069,2020-01,267000
00774,08511,2020-01,478000
00775,34030,2020-01,585000
00776,10547,2020-01,721900
00777,02183,2020-01,1091250
00778,20374,2020-01,663688
00779,19228,2020-01,317320
00780,09970,2020-01,516000
00781,33853,2020-01,900800
00782,16364,2020-01,93000
00783,08645,2020-01,269000
00784,29136,2020-01,325500
00785,32552,2020-01,50000
00786,05793,2020-01,438750
00787,15225,2020-01,91000
00788,13722,2020-01,420000
00789,15234,2020-01,188596
00790,25543,2020-01,165000
00791,15826,2020-01,128000
00792,04864,2020-01,187000
00793,26085,2020-01,132000
00794,27502,2020-01,493600
00795,18962,2020-01,470000
00796,32538,2020-01,158000
00797,04894,2020-01,139650
00798,25807,2020-01,254000
00799,33528,2020-01,292500
00800,13409,2020-01,97000
00801,25046,2020-01,257500
00802,01325,2020-01,198000
00803,28996,2020-01,201000
00804,29995,2020-01,101885
00805,16651,2020-01,275000
00806,03964,2020-01,453000
00807,08677,2020-01,113000
00808,09808,2020-01,67000
00809,12602,2020-01,53500
00810,20125,2020-01,61000
00811,01264,2020-01,150000
00812,15651,2020-01,76000
00813,02445,2020-01,93840
00814,28671,2020-01,123400
00815,11646,2020-01,109990
00816,22669,2020-01,212000
00817,13403,2020-01,146835
00818,13193,2020-01,294000
00819,07613,2020-01,82500
00820,00937,2020-01,197200
00821,27590,2020-01,247000
00822,11648,2020-01,497000
00823,33520,2020-01,414800
00824,16069,2020-01,930000
00825,13322,2020-01,1e+05
00826,09911,2020-01,2e+05
00827,23394,2020-01,190000
00828,17043,2020-01,313000
00829,16659,2020-01,216890
00830,03505,2020-01,182000
00831,00011,2020-01,208000
00832,14893,2020-01,352150
00833,00996,2020-01,372000
00834,23515,2020-01,490000
00835,31878,2020-01,627110
00836,21759,2020-01,1042127
00837,22288,2020-01,262500
00838,31199,2020-01,475260
00839,16824,2020-01,115500
00840,30786,2020-01,155000
00841,02618,2020-01,212525
00842,20576,2020-01,443300
00843,08808,2020-01,245000
00844,24001,2020-01,247000
00845,15915,2020-01,253250
00846,02877,2020-01,426250
00847,24948,2020-01,155000
00848,06374,2020-01,141000
00849,10563,2020-01,196000
00850,19336,2020-01,114000
00851,07708,2020-01,181900
00852,28103,2020-01,207000
00853,29516,2020-01,80000
00854,19921,2020-01,842000
00855,05797,2020-01,361000
00856,26406,2020-01,543000
00857,05235,2020-01,930000
00858,12384,2020-01,173000
00859,09103,2020-01,387000
00860,19455,2020-01,360976
00861,03052,2020-01,247400
00862,00952,2020-01,396450
00863,21147,2020-01,310000
00864,28614,2020-01,45480
00865,31236,2020-01,134000
00866,34093,2020-01,264800
00867,09405,2020-01,387200
00868,09946,2020-01,229000
00869,02052,2020-01,355000
00870,21358,2020-01,247000
00871,31770,2020-01,122900
00872,04739,2020-01,212000
00873,31033,2020-01,309000
00874,16092,2020-01,200750
00875,08064,2020-01,474801
00876,11839,2020-01,174000
00877,21264,2020-01,125110
00878,12825,2020-01,119175
00879,24639,2020-01,121300
