Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
32656,35288,68,,CHS,DU SILLON,35400,2,Appartement,1,17.39
27462,35288,6,,RUE,DES FRERES SAINT MLEUX,35400,2,Appartement,1,18.8
30813,37261,13,,RUE,DES 3 ECRITOIRES,37000,2,Appartement,1,24.5
08759,38158,9,,AV,DE BRESSON,38320,2,Appartement,3,68.44
06060,38185,31,,QUAI,CLAUDE BERNARD,38000,2,Appartement,1,44.68
26565,38185,5,,RUE,MALAKOFF,38000,2,Appartement,5,81.91
04285,38185,3,,RUE,HENRI BERGSON,38100,2,Appartement,4,59.12
30572,38382,12,,RUE,DU FOURNET,38120,2,Appartement,5,132.2
12613,38421,4,,RUE,JOSEPHINE BAKER,38400,2,Appartement,3,62.3
20733,38422,694,,AV,DES THERMES,38410,2,Appartement,1,38.59
20769,38548,719,,AV,GEN DE GAULLE,38250,2,Appartement,2,82.8
00190,38567,1164,,RTE,DE LA CROISETTE,38410,2,Appartement,2,25.39
06814,38567,319,,RUE,DES CHARDONS BLEUS,38410,2,Appartement,1,17.31
13354,39434,18,,RUE,TRAVOT,39800,1,Maison,6,107.95
20191,40046,255,,RUE,DU 19 MARS 1962,40600,1,Maison,4,81.45
01299,40065,67,,AV,DU GRAND BRUCA,40130,1,Maison,3,95.1
05442,40310,1,,AV,DE LA PETRE,40140,1,Maison,2,36.39
15721,41018,62,,AV,DE VENDOME,41000,2,Appartement,1,22.19
10926,41018,1,,RUE,LATHAM,41000,2,Appartement,3,65.48
06220,42187,57,,RUE,CHARLES DE GAULLE,42300,2,Appartement,2,39.99
19820,42187,12,,RUE,JACQUARD,42300,2,Appartement,2,55.35
28358,42187,39,,RUE,RABELAIS,42300,2,Appartement,3,59.83
14735,42187,27,,RUE,ROGER CRIVELLI,42300,2,Appartement,2,46.2
09770,42218,8,,PL,SAINT ROCH,42100,2,Appartement,2,81.1
27665,42218,155,,RUE,ANTOINE DURAFOUR,42100,2,Appartement,4,69.46
26006,42218,25,,ALL,HONORE DAUMIER,42100,2,Appartement,3,71.57
12487,42218,21,,RUE,DES PASSEMENTIERS,42100,2,Appartement,3,96.49
01975,43040,3,,RUE,FONTAINE DE GESTE,43100,2,Appartement,3,60.19
